,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV
45,1,227.43566000432475,1.6162573046749458,1,33,230.07182007667143,25,228.45376524538733,1.32,0.7859400688163897,0.2140599311836103,-1.300624513122553
46,1,232.5727267412003,0.9312574468785897,1,10,234.50766812998336,44,233.57482846459607,0.22727272727272727,4.534536808376011e-06,0.9999954654631916,12.303783082138976
47,1,237.0088730653515,1.265914233867079,0,98,239.29443406750215,73,238.02674482547445,1.3424657534246576,0.7799731606247695,0.22002683937523052,-1.2655099735647428
48,1,241.79492591816233,1.2325007822364569,0,58,244.04830842866795,6,242.8135909603443,9.666666666666666,0.9999998074345965,1.9256540354156355e-07,-15.46282978970058
49,0,246.54836689768126,1.098844210151583,1,54,248.66737066500355,80,247.56683361931937,0.675,1.1742397346692357e-06,0.9999988257602653,13.654888479868829
50,1,251.168161576672,0.9157931872177869,1,75,253.10467372718267,70,252.18655363185098,1.0714285714285714,0.017741601444344002,0.982258398555656,4.013942162844223
51,1,255.60765090532368,0.8155307088163681,1,55,257.44020280841505,95,256.6228326964774,0.5789473684210527,5.318387730213203e-09,0.9999999946816123,19.052095632436497
52,0,259.94044853618834,1.3989011779194698,1,96,262.34335681574885,89,260.9423890748294,1.0786516853932584,0.004740783670702742,0.9952592163292973,5.346800768740201
53,1,264.84328768012347,1.0327355273184367,1,15,266.880141321104,19,265.8452321693185,0.7894736842105263,0.19013823366574378,0.8098617663342562,1.4491122210193532
54,1,269.38019820989575,0.8491618389962241,1,15,271.24919210065855,42,270.3983247841825,0.35714285714285715,3.897797850993534e-05,0.9999610220214901,10.152474746164733
55,1,273.74997827166226,1.2161934628384188,0,53,275.96962614607764,40,274.7516556997434,1.325,0.7689683916806291,0.2310316083193708,-1.202495331802298
56,1,278.4700852066744,0.7156692171702161,1,26,280.20565679646097,84,279.4879459051299,0.30952380952380953,1.0493450552928607e-10,0.9999999998950655,22.97768471714728
57,0,282.7056267718435,1.0155389261199161,0,62,284.72533398435917,17,283.70776484085945,3.6470588235294117,0.9999959465876513,4.05341234865968e-06,-12.415947422951053
58,1,287.2257401068928,0.9820116969640367,1,42,289.2278189167846,39,288.24387971818214,1.0769230769230769,0.18437471641088365,0.8156252835891163,1.4869848492240263
59,1,291.72834592784056,0.6651026210165583,1,43,293.41425007977523,97,292.7471824263921,0.44329896907216493,8.782308213994838e-11,0.9999999999121769,23.155696755217924
60,1,302.9371031614137,0.8826870928751305,1,43,304.8388515424449,93,303.95416188641684,0.46236559139784944,3.989968355710971e-10,0.9999999996010032,21.642067629570644
61,0,307.3391217640601,1.1314292193274014,0,78,309.4916231309762,34,308.3583272493561,2.2941176470588234,0.9999709193579678,2.90806420322055e-05,-10.445408746341426
62,0,311.99234016629634,1.1491318934131414,1,28,314.16124643257353,41,313.01023918559076,0.6829268292682927,0.0021323781790442142,0.9978676218209558,6.148382751183438
63,1,316.66194727044785,1.4663751908228733,0,97,319.14836863597156,61,317.6799774499377,1.5901639344262295,0.9960398127843239,0.0039601872156761544,-5.527495928625957
64,0,321.6487723880564,1.1821143337292597,1,15,323.8508965509245,42,322.66693767835386,0.35714285714285715,3.897797850993534e-05,0.9999610220214901,10.152474746164733
65,0,326.3519130423665,0.865637454262469,1,45,328.2375532146543,60,327.3699305799091,0.75,0.0001846549902110306,0.999815345009789,8.596836719747317
66,1,330.7376918810187,1.399756879603956,0,82,333.1408889499726,40,331.73943054355914,2.05,0.9999077173121612,9.228268783876962e-05,-9.29056171114532
67,1,335.6412089492078,1.0324127626954578,1,37,337.6936911951634,54,336.65959468344226,0.6851851851851852,0.00019204571575692775,0.9998079542842431,8.557585047218927
68,1,340.1968208667822,1.5165135411079973,0,74,342.7303887872258,60,341.21222507720813,1.2333333333333334,0.3754818306555818,0.6245181693444182,0.5087703404043794
69,0,345.23100547713693,1.3656899973284453,0,9,347.6173670304124,7,346.2497112105484,1.2857142857142858,0.8050842522440318,0.19491574775596823,-1.4183795307068565
70,1,350.1177241653786,1.8996059663477354,0,46,353.037070529419,36,351.1355730119394,1.2777777777777777,0.6821850613146485,0.3178149386853515,-0.7638317123760312
71,0,355.5391260306933,1.1325120810070075,1,7,357.69049831386656,54,356.55622702720575,0.12962962962962962,4.464380376489885e-08,0.9999999553561962,16.924550268072537
72,1,360.19092063384596,1.0322507877717726,1,28,362.2434095958597,82,361.2091048870352,0.34146341463414637,3.907034695771472e-10,0.9999999996092965,21.663072233103794
73,0,364.7436549285776,1.0154765064944513,0,53,366.76299987040693,15,365.74569067684934,3.533333333333333,0.9999765981479594,2.3401852040672753e-05,-10.662671989569414
74,0,369.2641001146985,0.9824656218406744,1,77,371.2653354697977,72,370.2816984927631,1.0694444444444444,0.01458659044676991,0.9854134095532301,4.212958614131595
75,1,373.76627294905484,1.6991722686798312,1,54,376.4699848612654,78,374.76851254870417,0.6923076923076923,2.502859073327812e-06,0.9999974971409267,12.898074347342659
76,1,378.9700421450543,0.8156057704472914,1,17,380.78926509211306,82,379.97190090612276,0.2073170731707317,1.8175239091533513e-11,0.9999999999818248,24.73096093760986
77,1,383.28991812758613,0.9990427676821128,1,53,385.3089304281748,55,384.307982677361,0.9636363636363636,0.011277426995105588,0.9887225730048944,4.47361066285798
78,0,387.80939778510947,1.2820627388427965,0,51,390.09510772518115,7,388.81119847222,7.285714285714286,0.9999980194437518,1.980556248197614e-06,-13.13213083872089
79,1,392.5960590315517,1.265916999313049,0,62,394.88205776101677,43,393.614238544018,1.441860465116279,0.9293904606438358,0.0706095393561642,-2.5773636988732522
80,1,404.40497681783745,1.0821797558455728,1,25,406.5064304044936,37,405.422508430609,0.6756756756756757,0.004187517020821319,0.9958124829791787,5.47145100794166
81,1,409.0069605760509,0.8157444367534481,1,52,410.8426942987717,68,410.0250511998893,0.7647058823529411,6.30322284437268e-05,0.9999369677715563,9.671801365562384
82,0,413.34333034668816,1.0658092267112806,1,68,415.4290486620157,63,414.3614209704683,1.0793650793650793,0.0349795872825599,0.9650204127174401,3.3173845833384354
83,0,417.9296400679741,1.532768712437246,1,45,420.482945225609,42,418.94792624685215,1.0714285714285714,0.14362415156963482,0.8563758484303652,1.7855095261550775
84,0,422.9826165350387,1.0157360614393838,0,80,425.00205984694185,60,423.9845361353946,1.3333333333333333,0.7621716691765814,0.23782833082341856,-1.1646227035976253
85,1,427.5058642823715,1.1985761219402775,0,6,429.7219645108562,8,428.5211578757735,0.75,0.5506447142692721,0.44935528573072797,-0.20327594239516944
86,1,432.22265507717384,1.149074609624222,1,42,434.3916059852927,67,433.2407701946795,0.6268656716417911,5.65829264409512e-06,0.9999943417073559,12.082382705933671
87,0,436.8918781821849,1.1818832231801935,1,38,439.07779971678974,43,437.8941549175652,0.8837209302325582,0.01604459604248276,0.9839554039575172,4.116208477134768
88,0,441.57848475221545,1.0660790532710962,0,60,443.66445985704195,40,442.5965572032146,1.5,0.9590969376112705,0.04090306238872959,-3.1547872164713033
89,0,446.1649295843672,1.1324958834447898,0,62,448.3009861507453,17,447.1666994566913,3.6470588235294117,0.9999959465876513,4.05341234865968e-06,-12.415947422951053
90,0,450.80166605033446,1.0483917865203694,1,37,452.870887022058,52,451.8203761294717,0.7115384615384616,0.000409251674521105,0.9995907483254789,7.800770914597956
91,0,455.37147566268686,0.9825327821308747,1,12,457.3736311143148,23,456.38937626220286,0.5217391304347826,0.021893323600017056,0.9781066763999829,3.7994370082630944
92,0,459.8742825695663,0.9656233901623636,0,62,461.86030847922666,16,460.89246366231237,3.875,0.9999972236050868,2.7763949131414404e-06,-12.794354489261735
93,0,464.36047835537465,0.7816866409266368,0,12,466.14578098774655,3,465.3624204742373,4.0,0.977438805589157,0.02256119441084305,-3.7687043179505975
94,0,468.6467330842861,0.949024120811373,1,53,470.5991555180517,57,469.64842196914833,0.9298245614035088,0.00532276816046251,0.9946772318395375,5.230424795479353
95,1,473.09974455367774,1.2155898099881597,1,72,475.3355942662456,51,474.1182725097751,1.411764705882353,0.9120635740529377,0.08793642594706236,-2.3390955750577826
96,1,477.8364310049801,1.482058314140886,0,32,480.3224754825351,16,478.83842487679794,2.0,0.9881953778802711,0.011804622119728877,-4.427389269251712
97,0,482.82322175236186,1.2992344511440024,1,60,485.1427560072625,61,483.84118082089117,0.9836065573770492,0.00822954320983782,0.9917704567901622,4.791761176053057
98,1,487.64277813071385,0.9322695926530287,1,40,489.57845828315476,93,488.64450533647323,0.43010752688172044,1.728210907714356e-10,0.9999999998271789,22.478764213758204
99,1,492.0793440094567,1.1658295328379609,1,88,494.26548677810933,96,493.09749310225016,0.9166666666666666,3.618459278165176e-05,0.9999638154072183,10.226840958250861
