,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
52,1,253.50252246315358,1.0998283065855503,0,53,255.62212948832894,40,254.52075333351968,1.325,0.9811559413636755,0.018844058636324556,-3.952533736063283
53,1,258.12276158557506,0.6150314310798422,1,26,259.74102145340294,84,259.1247289883322,0.30952380952380953,7.211969505593885e-06,0.9999927880304944,11.839761268923668
54,0,262.2421746358741,0.7817925172275864,0,60,264.0435416252003,40,263.2604710863088,1.5,0.996090979792013,0.003909020207986953,-5.5405518421828726
55,0,266.544987547677,1.1654411880881526,0,12,268.7135647283285,3,267.54673648183234,4.0,0.9416086635160499,0.058391336483950076,-2.7804222257971825
56,1,271.2146799849579,0.9990091875661165,1,43,273.23349080455955,93,272.2330617685802,0.46236559139784944,4.7226714449011276e-05,0.999952773285551,9.960503613562462
57,1,275.7344602837693,0.9153696821304038,0,94,277.65286047715927,46,276.7361511439667,2.0434782608695654,0.9999934467582021,6.553241797842723e-06,-11.935544146523423
58,1,280.1539476845064,1.4994721987750381,0,6,282.67318951542256,8,281.17226862872485,0.75,0.5795025793674743,0.4204974206325257,-0.32073176844679036
59,1,285.17387652612524,1.615675775159616,0,52,287.79265668900916,68,286.17585696588503,0.7647058823529411,0.08120354973721311,0.9187964502627869,2.4261056451705363
60,1,297.2999905975885,0.9317528531537391,1,24,299.2506285417476,69,298.31763282738393,0.34782608695652173,0.00012365586296703146,0.999876344137033,8.997884485784775
61,1,301.7519863657071,0.9485468873754144,0,56,303.7200259476085,46,302.77022948290687,1.2173913043478262,0.9649355808829718,0.035064419117028185,-3.3148744275885003
62,1,306.22108905622736,0.8158542636665516,0,82,308.0401772874757,40,307.2229802121874,2.05,0.999973317231438,2.668276856195315e-05,-10.531465889987299
63,0,310.5412301244796,0.8489342840039171,0,14,312.40901907987427,7,311.5588774901116,2.0,0.9133558466249505,0.08664415337504955,-2.355316020147328
64,1,314.91054440959124,0.9485476774862036,1,37,316.8785879421048,54,315.9290150818415,0.6851851851851852,0.05991114998541491,0.9400888500145851,2.7531117609612914
65,0,319.3800579633098,1.1657710638828576,1,60,321.5654781658086,70,320.39832754968666,0.8571428571428571,0.2591020989706897,0.7408979010293103,1.0506406418758758
66,1,324.06654127436923,1.115636269096285,1,4,326.18531393114245,22,325.0683723811526,0.18181818181818182,0.038833009489495085,0.9611669905105049,3.208877516338605
67,1,328.6864410395501,0.9326235671178438,0,46,330.63836332637584,36,329.704386280966,1.2777777777777777,0.9624331029203106,0.03756689707968945,-3.243341294484858
68,0,333.13950347178616,1.3826416609226726,0,58,335.54166745679686,58,334.1577651569387,1.0,0.7562293525638007,0.24377064743619922,-1.1321168928563141
69,0,338.0427961454843,0.9654973657452501,0,43,340.0279232918401,7,339.06108469475294,6.142857142857143,0.9998682204308995,0.00013177956910045968,-8.934248174071346
70,0,342.5291693136096,0.8995451270020567,0,96,344.4475746427779,89,343.5467408274999,1.0786516853932584,0.9498786755672781,0.050121324432721825,-2.9418877115971958
71,1,346.94842718401924,0.7155194891383871,1,42,348.6670968878898,67,347.95026856235927,0.6268656716417911,0.011261984768748734,0.9887380152312513,4.474996523491804
72,1,351.16815644095186,0.8155121409799904,0,41,353.0030443384894,7,352.1862715584575,5.857142857142857,0.9997925740527354,0.0002074259472646147,-8.480528715180034
73,0,355.50662042875774,1.1657848909962922,1,7,357.6896912046941,54,356.5227128350525,0.12962962962962962,7.056514643188905e-05,0.9999294348535681,9.55890364432936
74,0,360.19074443675345,0.9989704715553671,0,56,362.20944819488795,59,361.20921036828076,0.9491525423728814,0.6127036032842885,0.3872963967157115,-0.45869101782971
75,1,364.7107574263937,0.8822624025051482,1,66,366.6123853138415,59,365.7288666180102,1.11864406779661,0.9386177905243774,0.061382209475622604,-2.7272883122862686
76,0,369.1135704962653,1.365499183011707,0,78,371.49855881824624,34,370.131784774072,2.2941176470588234,0.9999823059682269,1.7694031773114874e-05,-10.94226546901643
77,0,374.000016197504,1.2490889898035675,1,60,376.2687622271478,61,375.01842128968565,0.9836065573770492,0.7164087825575998,0.2835912174424003,-0.9267171033417486
78,1,378.7696009412175,1.2154377115657553,0,62,380.9883433362702,43,379.771539109468,1.441860465116279,0.9952039357958907,0.004796064204109325,-5.335152052668309
79,0,383.4897726662457,0.9158153106691316,0,62,385.4249973135884,17,384.50787040113937,3.6470588235294117,0.9999840736374332,1.5926362566743223e-05,-11.04751887218589
80,0,394.93189744540723,1.214474553358741,1,45,397.16604049532907,92,395.9502160192351,0.4891304347826087,9.260472908778627e-05,0.9999073952709122,9.287077738536514
81,1,399.66720118391095,1.2491071626427583,0,14,401.91941668483196,8,400.6690176734701,1.75,0.894316371758938,0.10568362824106207,-2.1356096040120365
82,1,404.42062043509213,1.7827347372076474,0,25,407.22287275566487,37,405.4388813300757,0.6756756756756757,0.14925966569180416,0.8507403343081958,1.7404194400092052
83,1,409.7237734943046,1.4160685446695425,0,88,412.1596938436851,96,410.7422007098794,0.9166666666666666,0.39868793804630354,0.6013120619536965,0.41093503691509603
84,1,414.66050055786036,1.232421770109795,0,16,416.89596587623237,10,415.6623589238152,1.6,0.8956609486909023,0.10433905130909774,-2.149916230632765
85,0,419.39691639249213,1.7994861049228348,1,28,422.21571741462685,41,420.4151235592435,0.6829268292682927,0.12579449280164445,0.8742055071983555,1.9386659162134052
86,1,424.7173723242595,1.298829513892997,0,54,427.0360868280404,31,425.7359646752593,1.7419354838709677,0.9978853545051084,0.002114645494891579,-6.156751210726562
87,0,429.5373142819153,1.1490046838880517,0,71,431.70587091945345,69,430.5555554238963,1.0289855072463767,0.8408442010263564,0.1591557989736436,-1.6645227981616317
88,1,434.20711536094313,1.1651650405838154,1,28,436.39217882347293,82,435.22562277386896,0.34146341463414637,1.76169932721848e-05,0.9999823830067278,10.946628977764243
89,1,438.8935544251581,1.1329683761578053,1,17,441.04576147178886,82,439.91171141917584,0.2073170731707317,1.4526988518781536e-06,0.9999985473011481,13.442086001704487
90,1,443.54617707576836,0.9155608915025368,1,14,445.464961663296,57,444.5480856144568,0.24561403508771928,0.0001786318749200655,0.9998213681250799,8.630004786617429
91,1,447.9660524261417,1.0147353725042194,1,15,449.98431213595904,42,448.9684871858335,0.35714285714285715,0.006014503487940526,0.9939854965120595,5.107548815142214
92,0,452.4855024541612,1.1142831859178841,0,62,454.604339900834,17,453.4887383970781,3.6470588235294117,0.9999840736374332,1.5926362566743223e-05,-11.04751887218589
93,0,457.10559777438175,0.9491363181150518,0,45,459.07386649161344,42,458.12359160830965,1.0714285714285714,0.8453051302003551,0.1546948697996449,-1.698243068227453
94,1,461.57525157474447,1.3159459177404642,0,87,463.91073048324324,89,462.59348442038754,0.9775280898876404,0.7109803568173203,0.2890196431826797,-0.9001501465862942
95,1,466.411731567292,0.79836136684753,1,15,468.2297878997633,56,467.4301978938747,0.26785714285714285,0.00027916212767598036,0.999720837872324,8.183438641035782
96,0,470.73162019171286,1.1493270533974282,0,55,472.90016418730374,60,471.74949590244796,0.9166666666666666,0.503031180927151,0.49696881907284896,-0.012124872248762887
97,1,475.401192530524,1.2492999522364698,0,46,477.67004206607817,40,476.41937638865784,1.15,0.9140811125379367,0.08591888746206328,-2.364515629943692
98,0,480.1711229524226,0.8489034692756832,0,80,482.0393452894641,60,481.18898404587526,1.3333333333333333,0.99661029901815,0.003389700981849971,-5.683618108390157
99,0,484.5402776329429,0.96524887252599,0,51,486.5254107051878,7,485.5589114653412,7.285714285714286,0.9999785363011104,2.1463698889561252e-05,-10.749126009636594
