,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,harm_self_prob_reject,harm_self_prob_accept,harm_self_SV
63,0,315.7280065706582,0.8821802298771217,1,7,317.613983729796,54,316.7297815787606,0.12962962962962962,0.012137818621341778,0.9878621813786582,4.399217111227331
64,1,320.1145012594643,0.8658740957034752,1,19,322.00026706105564,37,321.1323959330912,0.5135135135135135,0.18404891787675426,0.8159510821232457,1.4891528244879144
65,1,324.50051318394253,1.1319830945576541,1,25,326.6527976624784,37,325.51892104157014,0.6756756756756757,0.2993487399355409,0.7006512600644591,0.8504010260093186
66,1,329.1534230437246,0.8478510272689164,0,74,331.0228649334167,60,330.1730919353431,1.2333333333333334,0.8963502129220801,0.10364978707791994,-2.1573134146056043
67,1,333.52323313010857,1.3325929894344881,0,58,335.87602715805406,58,334.54157422244316,1.0,0.6561178134712954,0.3438821865287046,-0.6460412488331407
68,1,338.37663634179626,1.2503279004595242,0,75,340.64691481221234,70,339.3948561504367,1.0714285714285714,0.7864137347318807,0.21358626526811925,-1.3034422301664088
69,0,343.14764053892577,0.8317562506417744,0,51,344.99827990529593,7,344.16485017712694,7.285714285714286,0.991825380450629,0.00817461954937105,-4.798512886621482
70,1,347.4989234593231,1.4161728406324983,0,15,349.9186538224458,19,348.5006874057581,0.7894736842105263,0.45353602415149186,0.5464639758485081,0.18639368527284786
71,1,352.41937638859963,1.5997820844640955,0,37,355.03899645077763,54,353.4374409383745,0.6851851851851852,0.23050567091590557,0.7694943290840944,1.205458118834361
72,0,357.5392259811051,1.232435597165022,1,7,359.7751926316414,54,358.54110212478554,0.12962962962962962,0.012137818621341778,0.9878621813786582,4.399217111227331
73,1,362.2760744073312,0.9159757053712383,0,69,364.21167357231025,61,363.2940160931903,1.1311475409836065,0.8218580910330098,0.1781419089669902,-1.5289872674548783
74,0,366.7121346082422,1.0145662864670157,1,15,368.74778923980193,42,367.73133377265185,0.35714285714285715,0.08354310823232336,0.9164568917676766,2.3951522655664577
75,1,371.248275164573,0.8488276175921783,1,40,373.11750095605385,93,372.2669453425333,0.43010752688172044,0.009647439023955706,0.9903525609760443,4.631368507919014
76,1,375.6182934480021,0.7817131100455299,1,10,377.419902609603,44,376.6364310840145,0.22727272727272727,0.04230956545045095,0.957690434549549,3.1195113944690784
77,0,379.920918310876,1.6824817403103225,0,38,382.6234837566735,43,380.9392404403188,0.8837209302325582,0.48934244284973116,0.5106575571502688,0.04263668648373661
78,1,385.12438489031047,1.4323620368959382,1,24,387.56040677038254,69,386.1262918487773,0.34782608695652173,0.017465377748403288,0.9825346222515967,4.029915075149762
79,1,390.0611625216552,0.9655668964260258,0,52,392.0465970253572,68,391.07937363901874,0.7647058823529411,0.2782737908295504,0.7217262091704496,0.953040367164417
80,1,401.56976299511734,1.132393957755994,0,54,403.72127552487655,78,402.58729065727675,0.6923076923076923,0.15440612057848468,0.8455938794215153,1.7004529185238466
81,0,406.22200954781147,0.8494976407382637,0,62,408.091229413345,17,407.23968180222437,3.6470588235294117,0.9933682191221477,0.0066317808778523476,-5.009228032979947
82,0,410.5912543021841,1.1317906999611296,0,56,412.72711096779676,59,411.59319286549,0.9491525423728814,0.583483719674876,0.416516280325124,-0.33709100092171224
83,1,415.2276257320191,0.8489959135185927,0,33,417.0968886592309,25,416.24612050299766,1.32,0.7601794921414684,0.23982050785853154,-1.153663819651563
84,0,419.5972098436323,1.6161767122684978,1,37,422.2171246210928,52,420.59906465403037,0.7115384615384616,0.2663165254566856,0.7336834745433144,1.0133921553305687
85,0,424.7176504470408,1.0647615254856646,0,96,426.80332333035767,89,425.73670501913875,1.0786516853932584,0.8474121747295378,0.15258782527046225,-1.714446871555469
86,1,429.30593231186504,1.03282915672753,1,17,431.35633179731667,82,430.3217296077637,0.2073170731707317,0.0024152019004821668,0.9975847980995178,6.02355426948275
87,1,433.857250313682,1.666405136405956,1,42,436.5426381211146,67,434.8750612344011,0.6268656716417911,0.127683951643213,0.872316048356787,1.9215937162101815
88,0,439.04369964951184,0.965334600652568,0,55,441.0129785371246,60,440.0455809289706,0.9166666666666666,0.5335991355525431,0.4664008644474568,-0.13459938609004973
89,0,443.5131894995575,2.016462973318994,0,28,446.5333150814986,18,444.5151952232118,1.5555555555555556,0.7847561610478191,0.21524383895218097,-1.2936015265160061
90,1,449.0336461424595,1.0151154209743254,0,82,451.0533983919304,40,450.0362223339034,2.05,0.9928227946568781,0.0071772053431219465,-4.929642114281656
91,0,453.55343671282753,1.2989318346371874,1,14,455.873121485929,57,454.571839829674,0.24561403508771928,0.019037834088532213,0.9809621659114678,3.9421056249246615
92,1,458.373174028995,1.9831557929865085,1,43,461.3758529362385,93,459.3914515165379,0.46236559139784944,0.013229443818882691,0.9867705561811173,4.31199260867972
93,1,463.8771167357336,0.7826525645214133,0,41,465.67956777184736,7,464.8952089397353,5.857142857142857,0.9766590105588097,0.023340989441190393,-3.733926555823822
94,1,468.17981310462346,1.8327845938620158,1,55,471.0162429244374,95,469.18165053235134,0.5789473684210527,0.03817855057743591,0.9618214494225641,3.2265549752263123
95,0,473.51673042948823,1.3494229742209427,0,60,475.8866570587852,70,474.5348688556114,0.8571428571428571,0.42716257645642197,0.572837423543578,0.29343726603008075
96,0,478.38668787351344,1.0826155078830197,0,78,480.48975291318493,34,479.4050135584548,2.2941176470588234,0.9938185727270761,0.006181427272923927,-5.080005472473967
97,1,482.98965651832987,0.8818175640772097,1,43,484.875575603568,97,483.99160337791545,0.44329896907216493,0.009047980478349427,0.9909520195216506,4.696124535687296
98,0,487.37615397258196,0.8654778497293591,0,53,489.2615393306478,15,488.3944247440668,3.533333333333333,0.9858413026046868,0.014158697395313192,-4.2431662987658445
99,0,491.7618447126588,1.1827954185428098,0,54,493.96468433062546,80,492.7801676321542,0.675,0.13095753479657557,0.8690424652034244,1.892518882027638
