,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio
31,0,142.7195319000166,1.1797065802384168,1,6,144.91975953418296,26,143.73842253681505,0.23076923076923078,1.5447207957208775e-09,0.9999999984552792,20.288422656126627,0,137.7229946105508,0.6810375410714187,0,78,139.42122007510625,34,138.7385209070053,2.2941176470588234,1,129.32362378487596,0.9812646222417243,0,69,131.32362576021114,61,130.34072281961562,1.1311475409836065,1,136.25594389182515,1.2974130608490668,0,94,138.57157401030418,46,137.27282603795175,2.0434782608695654
32,1,147.41867904207902,1.0145520757650957,1,45,149.45139168173773,40,148.43529412691714,1.125,1.1420784606808176e-05,0.9999885792153932,11.380064230622457,0,141.92051410092972,0.41394304955611005,0,12,143.35336793540046,23,142.93761590105714,0.5217391304347826,0,133.8217425039038,0.4481916867662221,0,22,135.2889275434427,31,134.83916114305612,0.7096774193548387,1,141.06993648206117,1.1814606515108608,0,28,143.26937201875262,82,142.08739146683365,0.34146341463414637
33,1,151.94976995594334,0.5981718942639418,1,14,153.56681984500028,57,152.96712578035658,0.24561403508771928,0.0,1.0,inf,0,145.85176951816538,0.43181087321136147,0,7,147.30281907704193,54,146.86953225551406,0.12962962962962962,1,137.78863440809073,0.14802425989182666,0,15,138.95408086269163,56,138.80552050488768,0.26785714285714285,0,145.76864984707208,1.2478151145623997,0,50,148.03511026548222,7,146.78603095537983,7.142857142857143
34,0,156.0649583170889,0.5979526353185065,1,28,157.68187270022463,41,157.08243107964518,0.6829268292682927,2.1101491665120875e-09,0.9999999978898508,19.976507194817636,1,149.80017295776634,0.7477645467151888,0,94,151.56696799292695,46,150.8176631029346,2.0434782608695654,0,141.45350407349179,0.47964921733364463,0,37,142.95332550589228,52,142.4719028592226,0.7115384615384616,0,150.5345326861716,0.9956104760640301,0,59,152.5501668342622,65,151.5532471257029,0.9076923076923077
35,1,160.18017393752234,0.5314595058443956,1,46,161.730642993527,40,161.1976636876352,1.15,1.821172316507358e-05,0.9999817882768349,10.913426829406081,0,154.06524355121655,0.650601243483834,0,68,155.73532446764875,63,155.08254485722864,1.0793650793650793,0,145.45152797782794,0.7975967642851174,0,58,147.26862140267622,58,146.46923106099712,1.0,0,155.04902550275438,1.1145120165892877,0,35,157.18226262554526,62,156.06642004317837,0.5645161290322581
36,0,164.2290896133054,0.7478155096177943,1,56,165.99610627774382,59,165.24671131384093,0.9491525423728814,6.473241276339081e-09,0.9999999935267587,18.855588877336107,1,158.23081879573874,0.5478023935575038,0,17,159.79783340590075,82,159.24831684213132,0.2073170731707317,0,149.76648491225205,0.8312401679577306,0,56,151.6165588281583,59,150.78401416848646,0.9491525423728814,0,159.68061601085356,0.5625109135871753,0,96,161.264234644128,89,160.70041370793479,1.0786516853932584
37,0,168.49432257685112,0.7479948673862964,1,9,170.262067734031,7,169.51192017871654,1.2857142857142858,0.001869945413154217,0.9981300545868458,6.279974343424641,0,162.29596516193124,0.648035321617499,0,45,163.9628484537825,42,163.31332414684584,1.0714285714285714,1,154.1161495448323,0.546196470153518,0,15,155.68240247719223,19,155.13452186150244,0.7894736842105263,0,163.7626303010038,1.0145287671475671,0,68,165.79578185355058,63,164.77999521180755,1.0793650793650793
38,0,172.7595760836266,0.5145220511476509,1,45,174.29334353643935,42,173.7771144263097,1.0714285714285714,3.028989226439016e-06,0.9999969710107736,12.707278553736236,0,166.46111769106938,1.0145979028311558,0,14,168.49490292160772,7,167.47863549052272,2.0,1,158.18057215912268,0.4810026966733858,0,41,159.68104386207415,7,159.19827524223365,5.857142857142857,1,168.29445326304995,0.39705655770376325,0,45,169.71132411045255,40,169.31297333253315,1.125
39,1,176.79157721827505,0.7316065475461073,1,12,178.5425216118456,9,177.8089144747937,1.3333333333333333,0.0020106662318633006,0.9979893337681367,6.20727646285811,1,170.99592573480913,0.39796124771237373,0,37,172.4100434014108,54,172.0104718846851,0.6851851851851852,0,162.1803047027206,0.5808990327059291,0,14,163.77987748367013,7,163.19719949085265,2.0,1,172.2097158167162,0.6647807766566984,0,72,173.89320194651373,51,173.2272031964967,1.411764705882353
40,1,188.07209825643804,0.6475596680538729,1,74,189.73816021624953,60,189.08898751367815,1.2333333333333334,1.4816966579900281e-05,0.9999851830334201,11.119722826187909,1,181.94061915553175,1.2142858835868537,0,45,184.17287360335467,40,182.95697073463816,1.125,1,173.31001195457065,0.4480032426654361,0,42,174.77599126758287,39,174.326489163097,1.0769230769230769,0,183.42390846589115,0.381137965596281,0,62,184.8228000824456,17,184.44043940276606,3.6470588235294117
